ㅈtitle,author,publisher,isbn,description,image,link
뿌리깊은 중학국어 독해력 2단계 (하루 30분! 중학 국어 독해로 수능 국어를 준비하는),마더텅 편집부,마더텅,9791162726242,"〈책의 특장점〉

★ 독서+문학+어휘 학습을 한 권으로 완성
★ 최신 경향을 반영한 수능 신유형 문제 수록
★ LEET형, PSAT형, 고난도 유형 등 다양한 문제 유형 수록
★ 수능 문학 갈래를 총망라한 다양한 작품 수록
★ 교과서 안팎의 다양한 글감 수록
★ 공부할 내용을 미리 파악하고 학습 계획을 세울 수 있는... ",https://bookthumb-phinf.pstatic.net/cover/166/256/16625676.jpg,http://book.naver.com/bookdb/book_detail.php?bid=16625676
"MP3 고교영어듣기 24회 모의고사 2학년 (2021,100% 실전대비,조금 더 어려워진)",마더텅 편집부,마더텅,9791162726389,"전국 16개 시.도 교육청 공동 주관 고교영어듣기 능력 평가 및 서울시 고교영어듣기 문제를 반영한 고교 내신 영어듣기 모의고사 문제집이다. 최신 기출문제 유형을 재현하여 총 24회, 480문제를 실었고, 수능 듣기에 나오는 모든 유형을 대비할 수 있으며, 만점을 위한 고난도 문제를 수록하였다. 영국 성우... ",https://bookthumb-phinf.pstatic.net/cover/175/237/17523761.jpg,http://book.naver.com/bookdb/book_detail.php?bid=17523761
뿌리깊은 초등국어 독해력 시작단계 (에비 초등 7세~초등 1학년 대상),마더텅 편집부,마더텅,9791162722749,"2018년 출간되자마자 많은 사랑을 받았던 뿌리깊은 초등국어 독해력 시리즈! 이번에 새롭게 출간된 &lt;뿌리깊은 초등국어 독해력 시작단계&gt;는 독해에 첫 걸음을 떼는 7세 예비 초등학생들을 위한 책입니다.
  배경지식에 도움이 되는 설명문, 실생활에서 자주 접하는 실용문, 앞으로 쓰게 될 편지나 독후감... ",https://bookthumb-phinf.pstatic.net/cover/144/426/14442628.jpg,http://book.naver.com/bookdb/book_detail.php?bid=14442628
고교영문법 3300제,마더텅 편집부,마더텅,9791162723074,"고교영문법 3300제의 학습단계
STEP1 내신·수능대비를 위한 고교필수영문법을 알기 쉽게 설명  
STEP2 충분한 연습문제 풀이를 통해 문법 내용을 체계적으로 습득  
STEP3 고교 내신기출 변형문제+수능·학력평가·모의평가 기출문제 풀이로 실전 연습

무료제공: 
서술형 대비 WRITING 워크북... ",https://bookthumb-phinf.pstatic.net/cover/146/022/14602254.jpg,http://book.naver.com/bookdb/book_detail.php?bid=14602254
"마더텅 고등 국어 독서 수능기출문제집 (2022 수능대비,2021)",마더텅 편집부,마더텅,9791162727126,"[특장점]
누적 판매 589만 부, 2020년 한 해 동안 79만 부가 판매된 베스트셀러 기출문제집!

첨삭 해설 대폭 강화! 최다 문항 수록! 체계적인 영역별 구성!

- 대한민국 최초! 전 지문, 모든 선지에 100% 첨삭 해설 수록
- 총 727문항, 2022학년도 예시문항 + 2010~2021학년도 12개년 수능·모의평가 기출문제 전... ",https://bookthumb-phinf.pstatic.net/cover/176/898/17689873.jpg,http://book.naver.com/bookdb/book_detail.php?bid=17689873
"마더텅 수능기출 모의고사 35회 사회·문화 (2020 수능대비,2019,고등)",마더텅 편집부,마더텅,9791162722510,시험 당일 실제 상황과 동일한 환경에서 35번 반복 연습 가능하다. 실제 시험지 모양을 그대로 재현했고 수능과 똑같은 실전용 OMR 카드와 시험장 상황을 체험할 수 있는 안내 방송 MP3 제공한다.,https://bookthumb-phinf.pstatic.net/cover/143/854/14385404.jpg,http://book.naver.com/bookdb/book_detail.php?bid=14385404
초등영문법 777 3 (나의 첫 문법 파트너),마더텅 편집부,마더텅,9791162723135,"초등 영어 교과서, 학교 시험 완벽 분석 반영 초등 영문법 문제집

● 2018년부터 적용되는 개정 교과서의 단어와 표현 완벽 반영
● 문법 개념을 귀여운 삽화와 함께 아이들 눈높이에서 쉽게 설명
● 실제로 사용할 수 있는 일상회화에 유용한 문장으로 연습문제 구성
● 다양한 유형의 풍부한 연습문제로... ",https://bookthumb-phinf.pstatic.net/cover/147/423/14742368.jpg,http://book.naver.com/bookdb/book_detail.php?bid=14742368
마더텅 전국연합 학력평가 기출 모의고사 3개년 12회 고1 영어 영역 (2022),마더텅 편집부,마더텅,9791162729298,"1. 2018년 11월~2021년 9월 최신 3개년 전국연합 학력평가 12회 전 문항 (540문항) 수록2. 전국연합 학력평가 및 중간·기말고사 대비를 위한 모의고사 형태의 문제집3. [특별 무료 제공] ① 각 회차별 딕테이션 테스트(총 12회)② 각 회차별 WORD BOOK 부록(WORD LIST+WORD TEST) ③ 듣기 중요 문항, 독해... ",https://bookthumb-phinf.pstatic.net/cover/213/070/21307052.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21307052
1등급 어휘력 (고교 내신 수능 국어),마더텅 편집부,마더텅,9791162723692,"&lt;책의 특장점&gt; ★ 기존 어휘 어법 문제집과 비교를 거부하는 총 3,751개의 어휘 수록! ★ 총 3,751개의 어휘를 의미와 관계에 따라 체계적·입체적으로 분류! ★ 756개의 문제와 2,443개의 예문을 통해 어휘 완전 이해! ★ 문제 바로 뒷장에 정답과 해설이 수록되는 과학적이고 효율적인 구성! ★ 내신 국어... ",https://bookthumb-phinf.pstatic.net/cover/150/541/15054132.jpg,http://book.naver.com/bookdb/book_detail.php?bid=15054132
"중학영문법 3800제 1학년 (2022,새 교과서에 맞춘 12차 개정판)",마더텅 편집부,마더텅,9791162728659,"필수 문법사항 암기표, 열공 진도표 제공 8. 무료제공: * 영단어·표현 암기장* 단어장 MP3 파일* 모든 영어 예문에 대한 우리말 해석자료 홈페이지 제공 9. EBS 중학프리미엄 최고 인기 교재, 본사 직강 마더텅 중학영문법 3800제 동영상 강의 제공",https://bookthumb-phinf.pstatic.net/cover/209/415/20941539.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20941539
"중학영문법 3800제 2학년 (2022,새 교과서에 맞춘 12차 개정판)",마더텅 편집부,마더텅,9791162728673,"필수 문법사항 암기표, 열공 진도표 제공 8. 무료제공: * 영단어·표현 암기장* 단어장 MP3 파일* 모든 영어 예문에 대한 우리말 해석자료 홈페이지 제공 9. EBS 중학프리미엄 최고 인기 교재, 본사 직강 마더텅 중학영문법 3800제 동영상 강의 제공",https://bookthumb-phinf.pstatic.net/cover/209/415/20941552.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20941552
"마더텅 수능기출문제집 국어 독서 (2022,2023 대비)",마더텅 편집부,마더텅,9791162729380,〈책의 특장점〉* 총 697문항 수록  - 2013~2022학년도 최신 10개년 수능·모의평가 기출문제 전 문항   - 2022학년도 수능 평가원 예시문항   - 2009~2012학년도 4개년 수능·모의평가 기출문제 고난도 문항* 전 문항 모든 선지의 정·오답 풀이에 명확한 지문 근거 제시* 각 지문별 문제 풀이 시간 제시하여... ,https://bookthumb-phinf.pstatic.net/cover/213/564/21356497.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21356497
"마더텅 수능기출문제집 국어 문학 (2023 수능대비,2022)",마더텅 편집부,마더텅,9791162729373,"대학수학능력시험의 완벽한 대비를 위한 기출문제집!풀면 풀수록 국어 문학의 원리가 정리되는 문제집!- 총 679문항, 277개 작품을 6개의 유형별로 배치- 2013~2022학년도 10개년 수능ㆍ모의평가 전 문항 수록 - 2008~2012학년도 5개년 수능ㆍ모의평가 우수 문항 수록- 2022학년도 수능 예시 문항 수록* 지문마다 풀이... ",https://bookthumb-phinf.pstatic.net/cover/213/544/21354423.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21354423
"중학영문법 3800제 3학년 (2022,새 교과서에 맞춘 12차 개정판)",마더텅 편집부,마더텅,9791162728697,"필수 문법사항 암기표, 열공 진도표 제공 8. 무료제공: * 영단어·표현 암기장* 단어장 MP3 파일* 모든 영어 예문에 대한 우리말 해석자료 홈페이지 제공 9. EBS 중학프리미엄 최고 인기 교재, 본사 직강 마더텅 중학영문법 3800제 동영상 강의 제공",https://bookthumb-phinf.pstatic.net/cover/209/415/20941553.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20941553
"마더텅 수능기출문제집 고등 사회·문화 (2023 수능대비,2022)",마더텅 편집부,마더텅,9791162729564,〈 책의 특장점 〉2023 수능대비 마더텅 수능기출문제집 사회 · 문화는 총 876문항을 5개의 단원으로 나누어 수록하였습니다.ㆍ 2020~2021년 시행된 수능·모의평가·학력평가 기출문제 전 문항 수록(280문항)ㆍ 2013~2019년 시행된 수능·모의평가·학력평가 기출문제 중 우수 문항 선별 수록(596문항)ㆍ 사회... ,https://bookthumb-phinf.pstatic.net/cover/213/594/21359460.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21359460
"마더텅 수능기출문제집 고등 생활과 윤리 (2023 수능대비,2022)",마더텅 편집부,마더텅,9791162729557,〈 책의 특장점 〉2023 수능대비 마더텅 수능기출문제집 생활과 윤리는 총 872문항을 6개의 단원으로 나누어 수록하였습니다.ㆍ 2020~2021년 시행된 수능 · 모의평가 · 학력평가 기출문제 전 문항 수록(280문항)ㆍ 2013~2019년 시행된 수능 · 모의평가 · 학력평가 기출문제 선별 수록(575문항)ㆍ 15 개정... ,https://bookthumb-phinf.pstatic.net/cover/213/594/21359446.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21359446
"마더텅 수능기출문제집 영어 독해 (2022,2023 대비)",마더텅 편집부,마더텅,9791162729465,"〈 책의 특장점 〉누적 판매 607만 부, 2021년 한 해 97만 부가 판매된 베스트셀러 기출문제집 시리즈!수능·모의평가·학력평가에 자주 출제되는 유형을 철저히 분석하여 적용한 유형별 기출문제집!총 645문항, 최신 6개년, 2022 교육과정에 맞는 영어 독해 유형 수록!1. 2020~2022학년도 최신 3개년... ",https://bookthumb-phinf.pstatic.net/cover/213/563/21356321.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21356321
"마더텅 수능기출문제집 생명과학1 (2023 수능대비,2022)",마더텅 편집부,마더텅,9791162729632,"고난도 28문항 : 기존 마더텅 해설 + 〈더 자세한 해설 + Α〉 까지 추가 제공!마더텅 〈더 자세한 해설 + Α〉로 공부하고 수능에서 1등급으로 도약하기!... 어려워서 포기한 1등급, 고난도 문항의 풀이 비결을 〈마더텅 자세한 해설 + Α〉에서 알려드립니다![기출 핵심 ○× 522제] 기출 복습을 위한 최고의... ",https://bookthumb-phinf.pstatic.net/cover/213/544/21354428.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21354428
마더텅 100% 실전대비 MP3 중학영어듣기 24회 모의고사 1학년 (2022),마더텅 편집부,마더텅,9791162728598,"듣기부문 최강교재!!중학영어듣기 부문 국내 주요서점 최다 판매!최신개정판 2021년까지의 총 판매량 214만 권!1. 2021년까지의 누적판매량 총 214만 권!2. 전국 16개 시·도 교육청 공동 주관 중학영어듣기 능력 평가 완벽 반영, 서울시 중학영어듣기 문제 반영3. 실제 시험과 동일한 속도, 1.25배... ",https://bookthumb-phinf.pstatic.net/cover/211/060/21106064.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21106064
"마더텅 수능기출문제집 고등 수학1 (2023 수능대비,2022)",마더텅 편집부,마더텅,9791162729410,"〈책의 특장점〉1. 풍부하고 다양한 문항 구성ㆍ 총 1,154문항 93개의 유형을 단계적으로 배치하여 시험 준비에 최적화ㆍ 수능ㆍ모의평가 수록 29개년(1994~2022학년도) 및 전국연합 학력평가 21개년(2001~2021년)  기출문제 중 2022 적용 교육과정에 맞는 우수 문항 수록2. 체계적 학습에 최적화된 문제편ㆍ 각... ",https://bookthumb-phinf.pstatic.net/cover/213/594/21359442.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21359442
"마더텅 수능기출문제집 지구과학1 (2023 수능대비,2022)",마더텅 편집부,마더텅,9791162729656,"전 문항, 모든 선지에 100% 첨삭해설 수록 〈기출 자료 분석〉마더텅 〈기출 자료 분석 모음〉으로 공부하고 수능 1등급으로 도약하기!문제를 풀기 전 꼭 정리해야 할 자료 모음수능, 모의평가, 학력평가 문항 중 자주 나오는 자료를 선별!기존 마더텅 개념+〈기출 자료 분석〉까지 추가 제공!〈문제편〉... ",https://bookthumb-phinf.pstatic.net/cover/213/544/21354429.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21354429
마더텅 100% 실전대비 MP3 중학영어듣기 24회 모의고사 2학년 (2022),마더텅 편집부,마더텅,9791162728611,"듣기부문 최강교재!!중학영어듣기 부문 국내 주요서점 최다 판매!최신개정판 2021년까지의 총 판매량 214만 권!1. 2021년까지의 누적판매량 총 214만 권!2. 전국 16개 시·도 교육청 공동 주관 중학영어듣기 능력 평가 완벽 반영, 서울시 중학영어듣기 문제 반영3. 실제 시험과 동일한 속도, 1.25배... ",https://bookthumb-phinf.pstatic.net/cover/211/060/21106063.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21106063
"마더텅 수능기출문제집 국어 언어와 매체 (2022,2023 대비)",마더텅 편집부,마더텅,9791162729397,〈책의 특장점〉* 총 503문항 수록  - [언어] 2006~2022학년도 최신 17개년 수능·모의평가 기출문제 전 문항 + 2022학년도 수능 평가원 예시문항 + 2013~2021년 최신 9개년 전국연합 학력평가 기출문제 전 문항 수록  - [매체] 2022학년도 최신 1개년 수능·모의평가 기출문제 전 문항 + 2022학년도 수능 평가원 예시문항... ,https://bookthumb-phinf.pstatic.net/cover/213/564/21356498.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21356498
"마더텅 수능기출문제집 고등 수학2 (2022,2023 대비)",마더텅 편집부,마더텅,9791162729427,"〈책의 특장점〉1. 풍부하고 다양한 문항 구성ㆍ 총 1,023문항 73개의 유형을 단계적으로 배치하여 수능 준비에 최적화ㆍ 수능ㆍ모의평가 수록 29개년(1994~2022학년도) 및 전국연합 학력평가 21개년(2001~2021년)  기출문제 중 2022 적용 교육과정에 맞는 우수 문항 수록2. 체계적 학습에 최적화된 문제편ㆍ 각... ",https://bookthumb-phinf.pstatic.net/cover/213/520/21352066.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21352066
"마더텅 수능기출 모의고사 30회 영어 영역 (2023 수능대비,2022)",마더텅 편집부,마더텅,9791168590076,책의 특장점● 2022학년도 대학수학능력시험 수록! - 실제 수능 상황과 똑같은 환경에서 30번 반복 연습 가능- 실제 수능과 100% 똑같은 실전용 OMR카드 무료 제공- 시험장 상황을 체험할 수 있는 수능 안내 방송 MP3 제공● 2017~2022학년도 최신 6개년 수능·모의평가 전 회차 수록● 2019~2021년 최신 3개년... ,https://bookthumb-phinf.pstatic.net/cover/214/728/21472851.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21472851
"마더텅 수능기출문제집 고등 화학1 (2023 수능대비,2022)",마더텅 편집부,마더텅,9791162729618,"최신 6개년 학력평가, 모의평가, 수능 문항 중 고난도 28문항을 선별!고난도 28문항 : 기존 마더텅 해설 + 〈자세한 해설 + Α〉 까지 추가 제공!마더텅... 어려워서 포기한 1등급, 고난도 문항의 풀이 비결을 〈마더텅 자세한 해설 + Α〉에서 알려드립니다![기출 핵심 ○× 599제] 기출 복습을 위한 최고의... ",https://bookthumb-phinf.pstatic.net/cover/213/594/21359444.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21359444
"마더텅 수능기출문제집 고등 국어 화법과 작문 (2022,2023 대비)",마더텅 편집부,마더텅,9791162729403,"〈책의 특장점〉* 총 382문항 수록  - 2014~2022학년도 최신 9개년 수능·모의평가 기출문제 전 문항  - 2022학년도 수능 평가원 예시문항  - 2021년 최신 1개년 전국연합 학력평가 기출문제 전 문항* 해설에 지문과 문제가 그대로 나오는 첨삭 해설 방식  - 해설편에 지문과 문제, 선지를 그대로 제시하고 해설이... ",https://bookthumb-phinf.pstatic.net/cover/213/517/21351794.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21351794
마더텅 100% 실전대비 MP3 중학영어듣기 24회 모의고사 3학년 (2022),마더텅 편집부,마더텅,9791162728635,"듣기부문 최강교재!!중학영어듣기 부문 국내 주요서점 최다 판매!최신개정판 2021년까지의 총 판매량 214만 권!1. 2021년까지의 누적판매량 총 214만 권!2. 전국 16개 시·도 교육청 공동 주관 중학영어듣기 능력 평가 완벽 반영, 서울시 중학영어듣기 문제 반영3. 실제 시험과 동일한 속도, 1.25배... ",https://bookthumb-phinf.pstatic.net/cover/211/060/21106062.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21106062
"마더텅 고등 국어영역 수능기출 모의고사 28회 (2023 수능대비,2022)",마더텅 편집부,마더텅,9791168590052,〈책의 특장점〉2022 수능부터 적용된 교육과정 체제에 맞는 공통과목 + 선택과목(화법과 작문ㆍ언어와 매체)으로 모의고사 회차 구성2014~2022학년도 최신 9개년 수능ㆍ모의평가 전 문항 + 2010~2022학년도 13개년 수능ㆍ모의평가ㆍ학력평가 중 새 교육과정에 맞는 우수 문항 선별 + 2022학년도 수능 평가원... ,https://bookthumb-phinf.pstatic.net/cover/214/235/21423505.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21423505
"마더텅 수능기출문제집 고등 영어 듣기 (2022,2023 대비)",마더텅 편집부,마더텅,9791162729489,〈 책의 특장점 〉최신 경향에 맞게 듣기 문항 순서 재배치 수록 듣기 실력 향상을 위한 회차별 딕테이션 테스트 수록 문제지/딕테이션 모든 회차에 MP3 QR 코드(빠른 배속 MP3 포함) 제공으로 효율적인 학습 지원!중요 문항에 무료 동영상 강의 제공 및 강의 스트리밍 QR 코드 제공,https://bookthumb-phinf.pstatic.net/cover/213/517/21351796.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21351796
"마더텅 수능기출문제집 정치와 법 (2023 수능대비,2022)",마더텅 편집부,마더텅,9791162729571,2023 수능대비 마더텅 수능기출문제집 정치와 법은 총 870문항을 17개의 단원으로 나누어 수록하였습니다.ㆍ 2020~2021년 시행된 수능·모의평가·학력평가 기출문제 전 문항 수록(280문항)ㆍ 2013~2019년 시행된 수능·모의평가·학력평가 기출문제 중 우수 문항 선별수록(555문항)ㆍ 2007~2012년 시행된 법과... ,https://bookthumb-phinf.pstatic.net/cover/213/564/21356450.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21356450
"마더텅 수능기출문제집 물리학1 (2022,2023 대비)",마더텅 편집부,마더텅,9791162729595,"〈 책의 특장점 〉2023 수능(2023.11.17.시행) 적용 새 교육과정 반영!2021~2007년 시행 최신 15개년 수능·모의평가·학력평가 기출문제 중새 교육과정에 맞는 우수 문항 + 새 교육과정을 반영한 연도별 모의고사 9회분 수록[특별 무료 제공] 자세한 해설+Α, 기출 OX 405제개념 설명 + 전 문항 문제 풀이... ",https://bookthumb-phinf.pstatic.net/cover/213/563/21356319.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21356319
"마더텅 고등 국어 문학 수능기출문제집 (2022 수능대비,2021)",마더텅 편집부,마더텅,9791162727119,"- 독자대상 :  고등학교 3학년
- 구성 : 이론 + 문제
- 특징 : 
① 2022학년도 수능 평가원 예시 문항
② 2015 ~ 2021학년도 최신 7개년 수능, 모의평가 전 문항
③ 2008 ~ 2014 학년도 7개년 수능, 모의평가 우수 문항 총 664문항 수록",https://bookthumb-phinf.pstatic.net/cover/176/899/17689962.jpg,http://book.naver.com/bookdb/book_detail.php?bid=17689962
마더텅 전국연합 학력평가 기출문제집 고2 국어 독서 (2022),마더텅 편집부,마더텅,9791162728819,"〈책의 특장점〉★ 중간·기말고사와 전국연합 학력평가 대비를 위한 기출문제집!★ 대한민국 최초! 전 지문, 모든 선지에 100% 첨삭 해설 수록★ 총 430문항, 2018~2021년 전국연합 학력평가 전 문항 + 2015~2017년 전국연합 학력평가 고난도 문항 선별 수록★ 전 문항 모든 선지의 정·오답 풀이에 명확한... ",https://bookthumb-phinf.pstatic.net/cover/211/661/21166136.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21166136
"마더텅 수능기출문제집 고등 윤리와 사상 (2023 수능대비,2022)",마더텅 편집부,마더텅,9791162729540,〈 책의 특장점 〉2023 수능대비 마더텅 수능기출문제집 윤리와 사상은 총 878문항을 4개의 단원으로 나누어 수록하였습니다.ㆍ 2020~2021 수능 · 모의평가 · 학력평가 기출문제 전 문항 수록(280문항)ㆍ 2013~2019년 시행된 수능 · 모의평가 · 학력평가 기출문제 중 우수 문항 선별 수록(545문항)ㆍ 15 개정... ,https://bookthumb-phinf.pstatic.net/cover/213/594/21359441.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21359441
